id,open,high,low,close,volume,adj_close,company,exchange,date
79,146.65,147.08,145.64,146.83,64838170.0,146.83,AAPL,XNAS,2021-09-23
80,144.45,146.43,143.7001,145.85,76404341.0,145.85,AAPL,XNAS,2021-09-22
81,143.93,144.6,142.78,143.43,75833962.0,143.43,AAPL,XNAS,2021-09-21
82,143.8,144.84,141.28,142.94,123478863.0,142.94,AAPL,XNAS,2021-09-20
83,148.82,148.82,145.76,146.06,129728700.0,146.06,AAPL,XNAS,2021-09-17
84,148.44,148.9684,147.221,148.79,67901433.0,148.79,AAPL,XNAS,2021-09-16
85,148.56,149.44,146.37,149.03,79159981.0,149.03,AAPL,XNAS,2021-09-15
86,150.35,151.07,146.91,148.12,109296295.0,148.12,AAPL,XNAS,2021-09-14
87,150.63,151.41,148.75,149.55,102404329.0,149.55,AAPL,XNAS,2021-09-13
88,155.0,155.48,148.7,148.97,140646400.0,148.97,AAPL,XNAS,2021-09-10
89,155.49,156.11,153.95,154.07,54962409.0,154.07,AAPL,XNAS,2021-09-09
90,156.98,157.04,153.975,155.11,74160481.0,155.11,AAPL,XNAS,2021-09-08
91,154.97,157.26,154.39,156.69,80079257.0,156.69,AAPL,XNAS,2021-09-07
92,153.76,154.63,153.09,154.3,57808700.0,154.3,AAPL,XNAS,2021-09-03
93,153.87,154.72,152.4,153.65,69600446.0,153.65,AAPL,XNAS,2021-09-02
94,152.83,154.98,152.34,152.51,80313711.0,152.51,AAPL,XNAS,2021-09-01
95,152.66,152.8,151.29,151.83,86453117.0,151.83,AAPL,XNAS,2021-08-31
96,149.0,153.49,148.61,153.12,90956723.0,153.12,AAPL,XNAS,2021-08-30
97,147.48,148.75,146.83,148.6,55721500.0,148.6,AAPL,XNAS,2021-08-27
98,148.35,149.12,147.51,147.54,47601827.0,147.54,AAPL,XNAS,2021-08-26
99,149.81,150.32,147.8,148.36,57790733.0,148.36,AAPL,XNAS,2021-08-25
100,149.45,150.86,149.15,149.62,48606428.0,149.62,AAPL,XNAS,2021-08-24
101,148.31,150.19,147.89,149.71,60131810.0,149.71,AAPL,XNAS,2021-08-23
102,147.44,148.5,146.78,148.19,59947400.0,148.19,AAPL,XNAS,2021-08-20
103,145.03,148.0,144.52,146.7,81030081.0,146.7,AAPL,XNAS,2021-08-19
104,149.8,150.71,146.15,146.36,86325990.0,146.36,AAPL,XNAS,2021-08-18
105,150.23,151.68,149.09,150.19,91690172.0,150.19,AAPL,XNAS,2021-08-17
106,148.535,151.13,146.47,151.12,103558782.0,151.12,AAPL,XNAS,2021-08-16
107,148.97,149.44,148.27,149.1,59318800.0,149.1,AAPL,XNAS,2021-08-13
108,146.19,149.05,145.84,148.89,72282600.0,148.89,AAPL,XNAS,2021-08-12
109,146.05,146.718,145.53,145.86,48493463.0,145.86,AAPL,XNAS,2021-08-11
110,146.44,147.71,145.3,145.6,69023081.0,145.6,AAPL,XNAS,2021-08-10
111,146.2,146.7,145.52,146.09,48802159.0,146.09,AAPL,XNAS,2021-08-09
112,146.35,147.11,145.63,146.14,54067400.0,146.14,AAPL,XNAS,2021-08-06
113,146.98,147.84,146.17,147.06,46236448.0,147.06,AAPL,XNAS,2021-08-05
114,147.27,147.79,146.28,146.95,53941624.0,146.95,AAPL,XNAS,2021-08-04
115,145.81,148.04,145.18,147.36,64433620.0,147.36,AAPL,XNAS,2021-08-03
116,146.36,146.95,145.25,145.52,60129097.0,145.52,AAPL,XNAS,2021-08-02
117,144.38,146.33,144.11,145.86,70382000.0,145.86,AAPL,XNAS,2021-07-30
118,144.685,146.47,144.58,145.64,52800323.0,145.64,AAPL,XNAS,2021-07-29
119,144.81,146.96,142.54,144.98,113982837.0,144.98,AAPL,XNAS,2021-07-28
120,149.12,149.2,145.55,146.77,94028352.0,146.77,AAPL,XNAS,2021-07-27
121,148.27,149.83,147.7,148.99,71987172.0,148.99,AAPL,XNAS,2021-07-26
122,147.55,148.72,146.92,148.56,71361600.0,148.56,AAPL,XNAS,2021-07-23
123,145.935,148.195,145.81,146.8,74144058.0,146.8,AAPL,XNAS,2021-07-22
124,145.53,146.13,144.63,145.4,71439047.0,145.4,AAPL,XNAS,2021-07-21
125,143.46,147.0997,142.96,146.15,95496549.0,146.15,AAPL,XNAS,2021-07-20
126,143.75,144.07,141.67,142.45,116136809.0,142.45,AAPL,XNAS,2021-07-19
127,148.46,149.76,145.88,146.39,93100300.0,146.39,AAPL,XNAS,2021-07-16
128,149.24,150.0,147.095,148.48,104023741.0,148.48,AAPL,XNAS,2021-07-15
129,148.1,149.57,147.68,149.15,127050785.0,149.15,AAPL,XNAS,2021-07-14
130,144.03,147.46,143.63,145.64,98214828.0,145.64,AAPL,XNAS,2021-07-13
131,146.21,146.32,144.0,144.5,73241264.0,144.5,AAPL,XNAS,2021-07-12
132,142.75,145.65,142.65,145.11,99788400.0,145.11,AAPL,XNAS,2021-07-09
133,141.58,144.06,140.67,143.24,103561917.0,143.24,AAPL,XNAS,2021-07-08
134,143.535,144.89,142.66,144.57,104591949.0,144.57,AAPL,XNAS,2021-07-07
135,140.07,143.15,140.07,142.02,108181793.0,142.02,AAPL,XNAS,2021-07-06
136,137.9,140.0,137.75,139.96,78852600.0,139.96,AAPL,XNAS,2021-07-02
137,136.6,137.33,135.76,137.27,52485781.0,137.27,AAPL,XNAS,2021-07-01
138,136.17,137.4,135.87,136.96,63261393.0,136.96,AAPL,XNAS,2021-06-30
139,134.8,136.49,134.3599,136.33,64556081.0,136.33,AAPL,XNAS,2021-06-29
140,133.41,135.245,133.3857,134.78,62111303.0,134.78,AAPL,XNAS,2021-06-28
141,133.46,133.89,132.81,133.11,70730700.0,133.11,AAPL,XNAS,2021-06-25
142,134.45,134.64,132.93,133.41,68710998.0,133.41,AAPL,XNAS,2021-06-24
143,133.77,134.32,133.23,133.7,60214200.0,133.7,AAPL,XNAS,2021-06-23
144,132.13,134.08,131.62,133.98,74783618.0,133.98,AAPL,XNAS,2021-06-22
145,130.3,132.41,129.2118,132.3,79663316.0,132.3,AAPL,XNAS,2021-06-21
146,130.71,131.51,130.25,130.46,108953309.0,130.46,AAPL,XNAS,2021-06-18
147,129.8,132.55,129.65,131.79,96230975.0,131.79,AAPL,XNAS,2021-06-17
148,130.37,130.89,128.461,130.15,91815026.0,130.15,AAPL,XNAS,2021-06-16
149,129.94,130.59,129.39,129.64,62345416.0,129.64,AAPL,XNAS,2021-06-15
150,127.82,130.49,127.07,130.48,96650035.0,130.48,AAPL,XNAS,2021-06-14
